ID Producto,ID Tienda,Fecha de Venta,Cantidad Vendida,Precio Unitario,Categoría de Producto,Ubicación de Tienda,Promoción o Descuento,Estacionalidad,Método de Pago,Nivel de Inventario,Venta_Total
Producto_43,Tienda_2,2023-02-13,81,498.48,Deportes,Zona Este,1,1,Efectivo,10,40376.880000000005
Producto_22,Tienda_1,2023-04-19,25,204.46,Juguetes,Zona Norte,0,1,Crédito,100,5111.5
Producto_27,Tienda_6,2022-05-29,13,253.3,Alimentos,Zona Este,1,0,Crédito,100,3292.9
Producto_6,Tienda_6,2022-08-15,67,134.23,Electrónica,Zona Norte,0,1,Efectivo,50,8993.41
Producto_1,Tienda_5,2023-02-02,21,329.8,Alimentos,Zona Este,1,0,Efectivo,300,6925.8
Producto_22,Tienda_3,2022-03-18,84,43.03,Juguetes,Zona Oeste,0,0,Tarjeta,50,3614.52
Producto_36,Tienda_10,2023-09-14,10,412.35,Electrónica,Zona Sur,0,1,Efectivo,30,4123.5
Producto_1,Tienda_4,2022-07-07,43,406.15,Hogar,Zona Este,0,1,Efectivo,10,17464.45
Producto_18,Tienda_7,2022-04-03,89,233.65,Electrónica,Zona Sur,0,1,Tarjeta,5,20794.850000000002
Producto_24,Tienda_9,2023-06-20,83,263.33,Hogar,Zona Oeste,1,1,Efectivo,500,21856.39
Producto_33,Tienda_2,2023-12-03,95,323.03,Deportes,Zona Oeste,0,1,Tarjeta,50,30687.85
Producto_4,Tienda_2,2023-03-25,56,203.6,Electrónica,Zona Norte,1,0,Tarjeta,30,11401.6
Producto_28,Tienda_10,2022-12-23,83,94.91,Ropa,Zona Norte,1,0,Tarjeta,50,7877.53
Producto_18,Tienda_3,2022-12-21,79,137.31,Hogar,Zona Este,1,0,Crédito,20,10847.49
Producto_31,Tienda_1,2022-06-15,45,30.97,Electrónica,Zona Oeste,1,1,Efectivo,100,1393.6499999999999
Producto_14,Tienda_2,2023-11-22,6,316.98,Electrónica,Zona Sur,1,1,Efectivo,20,1901.88
Producto_21,Tienda_8,2022-12-16,89,157.9,Ropa,Zona Norte,1,0,Tarjeta,200,14053.1
Producto_32,Tienda_6,2023-10-20,13,422.71,Electrónica,Zona Sur,1,1,Tarjeta,10,5495.23
Producto_15,Tienda_10,2022-12-09,32,225.68,Alimentos,Zona Norte,1,1,Efectivo,5,7221.76
Producto_24,Tienda_8,2023-07-01,2,467.29,Alimentos,Zona Este,1,0,Efectivo,500,934.58
Producto_2,Tienda_4,2023-02-09,91,143.91,Hogar,Zona Oeste,1,0,Crédito,200,13095.81
Producto_30,Tienda_9,2022-09-15,51,124.89,Ropa,Zona Sur,1,0,Crédito,50,6369.39
Producto_10,Tienda_3,2023-10-28,46,100.19,Juguetes,Zona Norte,0,0,Efectivo,10,4608.74
Producto_29,Tienda_4,2022-10-24,18,271.93,Ropa,Zona Sur,1,1,Crédito,200,4894.74
Producto_17,Tienda_2,2023-09-24,38,14.69,Ropa,Zona Sur,1,1,Tarjeta,500,558.22
Producto_22,Tienda_1,2022-12-05,45,455.8,Juguetes,Zona Norte,1,0,Tarjeta,300,20511.0
Producto_2,Tienda_4,2022-01-31,88,383.4,Deportes,Zona Norte,0,0,Crédito,5,33739.2
Producto_48,Tienda_3,2022-04-09,57,423.6,Juguetes,Zona Oeste,0,1,Tarjeta,100,24145.2
Producto_1,Tienda_2,2023-08-28,48,488.94,Deportes,Zona Sur,0,1,Efectivo,100,23469.12
Producto_42,Tienda_2,2022-08-02,36,464.76,Hogar,Zona Este,1,1,Crédito,300,16731.36
Producto_31,Tienda_4,2022-08-15,67,5.58,Ropa,Zona Este,0,1,Crédito,100,373.86
Producto_36,Tienda_5,2022-02-19,51,494.35,Deportes,Zona Sur,1,1,Tarjeta,300,25211.850000000002
Producto_36,Tienda_2,2022-05-23,83,38.75,Alimentos,Zona Sur,0,1,Efectivo,5,3216.25
Producto_32,Tienda_7,2023-07-18,57,416.93,Electrónica,Zona Norte,1,1,Crédito,100,23765.010000000002
Producto_35,Tienda_7,2023-08-10,79,497.73,Electrónica,Zona Este,0,0,Efectivo,200,39320.67
Producto_41,Tienda_5,2023-06-23,55,412.79,Deportes,Zona Oeste,0,1,Efectivo,300,22703.45
Producto_15,Tienda_4,2023-11-06,69,179.7,Hogar,Zona Norte,1,0,Crédito,50,12399.3
Producto_21,Tienda_8,2023-05-13,62,483.37,Ropa,Zona Sur,1,0,Tarjeta,200,29968.94
Producto_26,Tienda_4,2022-10-28,63,220.96,Hogar,Zona Norte,1,0,Efectivo,300,13920.480000000001
Producto_14,Tienda_2,2023-04-06,5,405.47,Ropa,Zona Este,1,0,Crédito,200,2027.3500000000001
Producto_18,Tienda_10,2022-04-11,2,177.65,Alimentos,Zona Sur,0,0,Tarjeta,200,355.3
Producto_17,Tienda_4,2023-04-03,22,471.28,Ropa,Zona Este,0,1,Tarjeta,200,10368.16
Producto_26,Tienda_3,2022-02-13,34,265.0,Deportes,Zona Norte,1,0,Crédito,20,9010.0
Producto_34,Tienda_9,2022-07-13,64,477.66,Deportes,Zona Oeste,0,1,Efectivo,100,30570.24
Producto_18,Tienda_6,2022-04-03,87,153.84,Electrónica,Zona Oeste,0,0,Crédito,5,13384.08
Producto_35,Tienda_8,2022-09-24,87,287.67,Deportes,Zona Este,1,1,Crédito,5,25027.29
Producto_7,Tienda_5,2022-09-05,29,24.21,Electrónica,Zona Oeste,0,1,Tarjeta,20,702.09
Producto_46,Tienda_8,2022-03-16,70,493.4,Alimentos,Zona Sur,1,1,Crédito,5,34538.0
Producto_24,Tienda_8,2022-07-15,92,128.8,Alimentos,Zona Oeste,0,1,Tarjeta,5,11849.6
Producto_1,Tienda_9,2022-12-01,93,290.7,Juguetes,Zona Norte,0,1,Crédito,50,27035.1
Producto_37,Tienda_2,2023-05-26,16,214.76,Electrónica,Zona Sur,0,0,Crédito,30,3436.16
Producto_23,Tienda_1,2022-02-05,30,136.83,Deportes,Zona Oeste,0,0,Efectivo,50,4104.900000000001
Producto_46,Tienda_2,2022-07-27,67,227.88,Ropa,Zona Norte,1,1,Tarjeta,50,15267.96
Producto_5,Tienda_2,2022-03-29,73,164.14,Deportes,Zona Oeste,0,1,Tarjeta,200,11982.22
Producto_50,Tienda_5,2023-06-04,1,33.36,Hogar,Zona Este,0,0,Tarjeta,50,33.36
Producto_8,Tienda_6,2022-10-10,30,202.18,Electrónica,Zona Este,0,1,Efectivo,300,6065.400000000001
Producto_1,Tienda_2,2023-12-13,97,16.41,Alimentos,Zona Norte,1,1,Efectivo,100,1591.77
Producto_32,Tienda_3,2022-07-13,48,44.22,Alimentos,Zona Oeste,1,1,Efectivo,200,2122.56
Producto_31,Tienda_1,2023-02-12,66,128.16,Juguetes,Zona Sur,1,0,Efectivo,30,8458.56
Producto_34,Tienda_2,2022-09-15,95,472.99,Ropa,Zona Oeste,0,0,Tarjeta,10,44934.05
Producto_3,Tienda_3,2022-01-10,97,34.39,Electrónica,Zona Este,0,1,Efectivo,100,3335.83
Producto_28,Tienda_8,2023-03-07,75,43.56,Deportes,Zona Oeste,1,1,Tarjeta,20,3267.0
Producto_1,Tienda_7,2023-07-22,50,470.19,Alimentos,Zona Sur,1,1,Tarjeta,300,23509.5
Producto_7,Tienda_3,2023-01-13,41,474.15,Juguetes,Zona Norte,0,1,Efectivo,50,19440.149999999998
Producto_27,Tienda_4,2023-06-14,65,67.75,Juguetes,Zona Norte,0,0,Efectivo,500,4403.75
Producto_2,Tienda_2,2022-12-07,20,310.21,Alimentos,Zona Norte,1,1,Crédito,300,6204.2
Producto_21,Tienda_10,2023-05-30,74,334.67,Deportes,Zona Oeste,0,1,Efectivo,50,24765.58
Producto_7,Tienda_5,2022-11-03,65,267.23,Juguetes,Zona Sur,1,0,Efectivo,300,17369.95
Producto_13,Tienda_9,2022-12-19,63,193.78,Electrónica,Zona Sur,1,0,Tarjeta,200,12208.14
Producto_35,Tienda_3,2022-07-25,14,241.62,Hogar,Zona Sur,1,0,Efectivo,200,3382.6800000000003
Producto_49,Tienda_3,2023-02-12,15,286.51,Deportes,Zona Norte,1,1,Crédito,30,4297.65
Producto_34,Tienda_10,2023-10-04,1,45.23,Deportes,Zona Este,1,0,Tarjeta,50,45.23
Producto_43,Tienda_1,2022-10-28,9,40.69,Ropa,Zona Norte,0,0,Tarjeta,300,366.21
Producto_33,Tienda_9,2023-11-19,100,452.94,Hogar,Zona Norte,1,0,Tarjeta,20,45294.0
Producto_22,Tienda_9,2022-09-25,59,85.04,Alimentos,Zona Oeste,0,0,Crédito,200,5017.360000000001
Producto_23,Tienda_3,2022-09-02,1,415.56,Hogar,Zona Sur,0,1,Crédito,50,415.56
Producto_31,Tienda_9,2023-03-09,38,276.75,Juguetes,Zona Sur,1,0,Efectivo,300,10516.5
Producto_23,Tienda_3,2022-12-24,64,161.11,Electrónica,Zona Este,0,1,Tarjeta,500,10311.04
Producto_41,Tienda_4,2022-07-29,49,186.32,Ropa,Zona Este,0,1,Tarjeta,300,9129.68
Producto_10,Tienda_5,2022-03-24,31,64.06,Alimentos,Zona Oeste,0,1,Efectivo,10,1985.8600000000001
Producto_50,Tienda_4,2022-02-02,69,44.21,Deportes,Zona Sur,1,0,Crédito,500,3050.4900000000002
Producto_25,Tienda_2,2023-09-17,75,85.29,Deportes,Zona Oeste,0,1,Efectivo,30,6396.750000000001
Producto_48,Tienda_1,2023-11-24,64,413.11,Hogar,Zona Sur,0,1,Efectivo,10,26439.04
Producto_14,Tienda_10,2023-10-25,89,131.98,Alimentos,Zona Este,1,1,Tarjeta,500,11746.22
Producto_4,Tienda_7,2022-06-10,48,297.94,Electrónica,Zona Este,0,0,Efectivo,10,14301.119999999999
Producto_40,Tienda_5,2022-11-20,51,19.52,Ropa,Zona Norte,1,0,Tarjeta,500,995.52
Producto_22,Tienda_1,2022-05-15,27,433.75,Alimentos,Zona Norte,1,0,Efectivo,500,11711.25
Producto_36,Tienda_9,2023-08-01,73,380.88,Electrónica,Zona Norte,1,0,Tarjeta,200,27804.239999999998
Producto_34,Tienda_5,2022-12-03,84,201.16,Juguetes,Zona Oeste,0,0,Efectivo,200,16897.44
Producto_28,Tienda_7,2022-06-22,29,338.24,Juguetes,Zona Este,0,0,Efectivo,5,9808.960000000001
Producto_4,Tienda_2,2023-10-17,23,447.96,Electrónica,Zona Oeste,1,1,Tarjeta,30,10303.08
Producto_38,Tienda_3,2022-03-22,56,438.33,Electrónica,Zona Este,0,0,Efectivo,500,24546.48
Producto_24,Tienda_4,2023-10-01,81,406.61,Juguetes,Zona Sur,0,1,Tarjeta,30,32935.41
Producto_48,Tienda_4,2022-07-04,78,143.03,Alimentos,Zona Sur,0,0,Efectivo,300,11156.34
Producto_18,Tienda_1,2023-02-04,80,317.41,Ropa,Zona Norte,1,0,Crédito,10,25392.800000000003
Producto_13,Tienda_10,2023-06-25,25,232.84,Alimentos,Zona Este,0,0,Tarjeta,10,5821.0
Producto_6,Tienda_7,2023-03-28,32,396.43,Deportes,Zona Sur,0,1,Tarjeta,30,12685.76
Producto_21,Tienda_2,2023-02-05,69,333.64,Deportes,Zona Oeste,0,1,Crédito,5,23021.16
Producto_45,Tienda_10,2022-04-06,93,55.9,Electrónica,Zona Este,0,1,Tarjeta,200,5198.7
Producto_3,Tienda_1,2022-01-02,51,323.52,Hogar,Zona Norte,1,1,Tarjeta,10,16499.52
Producto_37,Tienda_3,2023-10-22,100,158.17,Electrónica,Zona Oeste,1,1,Efectivo,20,15816.999999999998
Producto_32,Tienda_7,2023-03-05,26,287.01,Ropa,Zona Sur,1,0,Tarjeta,20,7462.26
Producto_23,Tienda_4,2022-05-05,65,7.47,Hogar,Zona Sur,1,0,Crédito,10,485.55
Producto_24,Tienda_6,2023-05-19,34,364.97,Electrónica,Zona Norte,0,1,Efectivo,300,12408.980000000001
Producto_46,Tienda_5,2023-06-02,35,28.51,Juguetes,Zona Oeste,1,1,Efectivo,20,997.85
Producto_28,Tienda_2,2023-02-08,75,401.5,Electrónica,Zona Norte,1,1,Tarjeta,300,30112.5
Producto_32,Tienda_4,2022-01-31,29,179.3,Ropa,Zona Oeste,0,1,Crédito,10,5199.700000000001
Producto_25,Tienda_6,2022-04-13,18,444.64,Juguetes,Zona Sur,1,1,Tarjeta,5,8003.5199999999995
Producto_11,Tienda_1,2022-03-13,69,255.27,Hogar,Zona Oeste,1,0,Efectivo,500,17613.63
Producto_38,Tienda_2,2022-12-06,9,40.59,Juguetes,Zona Oeste,1,1,Efectivo,50,365.31000000000006
Producto_47,Tienda_7,2022-01-10,34,345.58,Ropa,Zona Norte,0,1,Tarjeta,30,11749.72
Producto_20,Tienda_3,2022-07-07,62,132.02,Juguetes,Zona Este,1,0,Crédito,100,8185.240000000001
Producto_25,Tienda_9,2022-09-17,86,243.74,Deportes,Zona Sur,0,0,Efectivo,100,20961.64
Producto_24,Tienda_9,2022-10-17,17,62.38,Electrónica,Zona Este,1,0,Efectivo,100,1060.46
Producto_34,Tienda_4,2022-01-09,36,352.63,Alimentos,Zona Sur,0,0,Tarjeta,100,12694.68
Producto_14,Tienda_5,2022-01-09,77,460.4,Hogar,Zona Este,1,1,Efectivo,500,35450.799999999996
Producto_1,Tienda_8,2023-10-11,69,381.74,Juguetes,Zona Sur,1,0,Crédito,300,26340.06
Producto_6,Tienda_6,2022-01-01,45,406.67,Juguetes,Zona Este,0,0,Efectivo,500,18300.15
Producto_16,Tienda_5,2022-03-04,24,112.94,Juguetes,Zona Sur,0,0,Crédito,300,2710.56
Producto_9,Tienda_4,2023-12-08,21,368.82,Hogar,Zona Este,0,0,Crédito,200,7745.22
Producto_29,Tienda_10,2023-01-21,88,160.84,Juguetes,Zona Sur,0,1,Efectivo,10,14153.92
Producto_35,Tienda_6,2023-01-03,45,253.68,Alimentos,Zona Oeste,0,0,Efectivo,5,11415.6
Producto_47,Tienda_7,2022-11-20,28,445.88,Juguetes,Zona Sur,0,1,Tarjeta,10,12484.64
Producto_10,Tienda_9,2023-11-14,53,219.3,Ropa,Zona Oeste,1,1,Crédito,5,11622.900000000001
Producto_2,Tienda_2,2022-04-25,27,80.67,Electrónica,Zona Sur,0,1,Tarjeta,5,2178.09
Producto_42,Tienda_10,2022-05-10,58,398.99,Ropa,Zona Sur,0,0,Tarjeta,500,23141.420000000002
Producto_5,Tienda_5,2022-08-27,76,18.74,Electrónica,Zona Oeste,0,1,Efectivo,300,1424.2399999999998
Producto_40,Tienda_4,2022-06-18,67,101.06,Juguetes,Zona Oeste,0,0,Tarjeta,10,6771.02
Producto_30,Tienda_8,2022-03-10,79,191.21,Deportes,Zona Norte,0,1,Crédito,50,15105.59
Producto_35,Tienda_10,2023-10-12,42,141.95,Alimentos,Zona Norte,1,0,Tarjeta,5,5961.9
Producto_29,Tienda_2,2022-07-26,35,262.48,Alimentos,Zona Este,1,1,Crédito,100,9186.800000000001
Producto_45,Tienda_7,2022-10-13,56,395.7,Ropa,Zona Este,0,0,Tarjeta,100,22159.2
Producto_17,Tienda_9,2022-04-05,48,127.18,Hogar,Zona Norte,1,0,Crédito,30,6104.64
Producto_23,Tienda_9,2022-01-05,15,71.39,Ropa,Zona Oeste,0,1,Efectivo,100,1070.85
Producto_13,Tienda_3,2023-07-27,71,302.51,Ropa,Zona Norte,1,1,Crédito,5,21478.21
Producto_39,Tienda_1,2023-08-22,78,85.23,Electrónica,Zona Sur,1,1,Tarjeta,5,6647.9400000000005
Producto_8,Tienda_1,2023-09-01,39,322.04,Electrónica,Zona Oeste,0,0,Crédito,5,12559.560000000001
Producto_36,Tienda_10,2022-01-18,37,332.18,Ropa,Zona Norte,1,1,Tarjeta,20,12290.66
Producto_47,Tienda_8,2023-05-05,63,275.68,Electrónica,Zona Oeste,0,1,Crédito,500,17367.84
Producto_33,Tienda_7,2022-06-20,18,322.09,Juguetes,Zona Oeste,1,1,Efectivo,30,5797.62
Producto_8,Tienda_10,2023-01-09,100,202.51,Ropa,Zona Este,1,1,Crédito,10,20251.0
Producto_33,Tienda_7,2022-11-02,41,254.36,Alimentos,Zona Norte,0,1,Crédito,300,10428.76
Producto_9,Tienda_10,2022-10-11,39,191.26,Ropa,Zona Oeste,0,1,Tarjeta,500,7459.139999999999
Producto_22,Tienda_9,2022-12-13,2,327.34,Ropa,Zona Norte,1,1,Efectivo,5,654.68
Producto_34,Tienda_3,2023-10-17,59,93.58,Ropa,Zona Norte,1,0,Crédito,300,5521.22
Producto_43,Tienda_9,2023-12-03,73,149.35,Alimentos,Zona Sur,1,1,Efectivo,100,10902.55
Producto_11,Tienda_6,2023-07-22,48,452.88,Electrónica,Zona Sur,1,1,Efectivo,200,21738.239999999998
Producto_25,Tienda_3,2023-04-17,23,473.51,Electrónica,Zona Oeste,0,0,Crédito,100,10890.73
Producto_35,Tienda_6,2022-07-30,46,356.46,Deportes,Zona Norte,0,1,Tarjeta,100,16397.16
Producto_46,Tienda_3,2023-01-12,47,207.17,Electrónica,Zona Norte,0,1,Tarjeta,20,9736.99
Producto_39,Tienda_4,2023-08-30,14,217.98,Electrónica,Zona Norte,1,0,Efectivo,200,3051.72
Producto_26,Tienda_10,2022-11-25,54,107.22,Alimentos,Zona Este,1,0,Efectivo,500,5789.88
Producto_14,Tienda_3,2023-12-09,30,456.51,Alimentos,Zona Oeste,1,0,Efectivo,20,13695.3
Producto_29,Tienda_3,2022-10-20,8,468.13,Electrónica,Zona Norte,1,0,Tarjeta,50,3745.04
Producto_49,Tienda_8,2022-09-27,89,469.11,Hogar,Zona Este,1,1,Efectivo,50,41750.79
Producto_9,Tienda_8,2022-05-10,70,12.5,Hogar,Zona Sur,1,0,Crédito,20,875.0
